split,seed,arm,train_detector,eval_detector,partition,relation,mpjpe_mm,pa_mpjpe_mm,samples,best_epoch,epochs_completed
split_a,42,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,137.68253754361913,90.74040924102692,20060,42,50
split_a,42,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,142.62989661725823,95.63104588820808,19666,42,50
split_a,42,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,137.8470315615653,87.89353579885343,20060,36,44
split_a,42,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,146.15697142276008,95.45031955532392,19666,36,44
split_a,42,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,135.4272183449651,90.00870591350947,20060,36,44
split_a,42,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,test,matched,143.1939880377301,95.6586915552222,19666,36,44
split_b,123,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,127.02372034857113,83.5286121987186,19666,45,50
split_b,123,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,109.45734687849375,75.26681684495375,19678,45,50
split_b,123,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,161.56906748957593,108.79260525780535,19666,45,50
split_b,123,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,148.49808479012094,100.38839852881391,19678,45,50
split_b,123,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,176.77827293933692,117.66564279721347,19666,24,32
split_b,123,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,157.14184940034556,106.8103715920063,19678,24,32
split_b,123,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,val,matched,138.78558489270821,93.3309360063053,19666,24,32
split_b,123,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,test,matched,125.56746112409797,84.03353840583392,19678,24,32
split_b,123,detector_aware_observed,rtmpose_performance,rtmpose_performance,val,matched,130.36974187684328,85.66693349244889,19666,41,49
split_b,123,detector_aware_observed,rtmpose_performance,rtmpose_performance,test,matched,111.73440358522207,76.47505780567131,19678,41,49
split_b,123,detector_aware_observed,rtmpose_performance,yolo11l_pose,val,cross,143.64289732279062,94.79608842672633,19666,41,49
split_b,123,detector_aware_observed,rtmpose_performance,yolo11l_pose,test,cross,126.75786490624047,85.56810111545889,19678,41,49
split_b,123,detector_aware_observed,yolo11l_pose,rtmpose_performance,val,cross,144.86589799654226,93.32716601622089,19666,47,50
split_b,123,detector_aware_observed,yolo11l_pose,rtmpose_performance,test,cross,121.5953777695904,81.80703942854964,19678,47,50
split_b,123,detector_aware_observed,yolo11l_pose,yolo11l_pose,val,matched,141.44771194574392,93.95062782848571,19666,47,50
split_b,123,detector_aware_observed,yolo11l_pose,yolo11l_pose,test,matched,122.45681963995325,83.45841961835552,19678,47,50
split_b,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,val,matched,130.27487319485405,85.20183788009763,19666,32,40
split_b,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,112.0186875889318,75.69183979253481,19678,32,40
split_b,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,143.0931620563409,93.92777747762636,19666,32,40
split_b,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,126.76882178066877,84.53397036030084,19678,32,40
split_b,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,148.12006524585578,94.06186478249262,19666,40,48
split_b,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,124.49285369448114,81.94778353364163,19678,40,48
split_b,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,142.7533512788569,93.10363937124987,19666,40,48
split_b,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,test,matched,124.55804467552596,83.64810956398009,19678,40,48
split_b,2026,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,128.97376976761925,84.52204312010576,19666,37,45
split_b,2026,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,110.52017640258157,75.10476523592337,19678,37,45
split_b,2026,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,166.7501048764365,111.17583885258823,19666,37,45
split_b,2026,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,152.66982004014636,101.65558380551886,19678,37,45
split_b,2026,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,179.32112608690124,118.4994899191498,19666,49,50
split_b,2026,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,161.2145749695091,106.85157838067893,19678,49,50
split_b,2026,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,val,matched,136.15264288619954,91.43425955646802,19666,49,50
split_b,2026,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,test,matched,122.26160321806078,81.3593809552546,19678,49,50
