split,seed,detector,arm,checkpoint,sha256,report
split_a,123,rtmpose_performance,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed123\bounded_reliability_observed_modulation\train_rtmpose_performance\best.pt,f220579d3dc10042629d81bfcab74df0da1df12d3cd065e0c1dc22ffb09e9e33,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed123\bounded_reliability_observed_modulation\train_rtmpose_performance\phase9c_r1e_run_report.json
split_a,123,rtmpose_performance,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\bounded_reliability_dual_modulation\train_rtmpose_performance\best.pt,16f8ade67f502320ba631bd987ee62da94b097a90c061bdd88b9092fed9cb03c,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\bounded_reliability_dual_modulation\train_rtmpose_performance\phase9c_r1d_run_report.json
split_a,123,yolo11l_pose,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\detector_aware_observed\train_yolo11l_pose\best.pt,48eb93b5fd39dedebe0e63402f4148ce4e9aac8d3c14a9b7c999954f574f5035,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\detector_aware_observed\train_yolo11l_pose\phase9c_r1d_run_report.json
split_a,123,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\best.pt,0d1546bc829b05269c5d2537431df7fa5c9dd54f1fe1b7ac3335ffc8bf1f4d07,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\phase9c_r1d_run_report.json
split_a,123,yolo11l_pose,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed123\bounded_reliability_observed_modulation\train_yolo11l_pose\best.pt,ce06faf3dc9cdd7394e0518fa0e80d72292c325bcf0ac08fe935d1c0efcc1d47,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed123\bounded_reliability_observed_modulation\train_yolo11l_pose\phase9c_r1e_run_report.json
split_a,123,yolo11l_pose,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\bounded_reliability_dual_modulation\train_yolo11l_pose\best.pt,5465748e7cd5d89e18a2cee0e17e33cbe92c31b9562395f27d1366110514aaf1,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed123\bounded_reliability_dual_modulation\train_yolo11l_pose\phase9c_r1d_run_report.json
split_a,2026,rtmpose_performance,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\detector_aware_observed\train_rtmpose_performance\best.pt,ce79666bbcc9fdee4f57b4b55edf83d923dcc2e4795d8e0047f5ad531baabc0d,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\detector_aware_observed\train_rtmpose_performance\phase9c_r1d_run_report.json
split_a,2026,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\best.pt,afd58056b48b9e852796be88cdc20dc82e5c6637afb20426c362b6e652f93ddb,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\phase9c_r1d_run_report.json
split_a,2026,rtmpose_performance,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed2026\bounded_reliability_observed_modulation\train_rtmpose_performance\best.pt,f7010679632137f922dd88bf35a9cda0ef2e13978f6014ec48e3f9dc2d2a0d53,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed2026\bounded_reliability_observed_modulation\train_rtmpose_performance\phase9c_r1e_run_report.json
split_a,2026,rtmpose_performance,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\bounded_reliability_dual_modulation\train_rtmpose_performance\best.pt,caa668776e19eb58af2cf3830889ab7694f1c26b37ace10bfdf4d4d18f9f78bd,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\bounded_reliability_dual_modulation\train_rtmpose_performance\phase9c_r1d_run_report.json
