subject,split,seed,detector,arm,valid_frames,detector_success_rate,MPJPE_mm,PA_MPJPE_mm,3DPCK_at_150mm_pct,AUC_0_to_150mm_pct
TS1,split_a,2026,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,603,1.0,107.02494049072266,65.9342269897461,78.20421701018716,39.79793811281534
TS2,split_a,2026,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,540,1.0,132.97332763671875,89.18425750732422,67.94973544973544,32.132189793480116
TS3,split_a,2026,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,506,1.0,131.7085723876953,82.1816177368164,68.30886504799548,31.51855157465256
TS4,split_a,2026,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,558,1.0,153.357177734375,95.0090560913086,60.445468509984636,27.97722280032373
TS5,split_a,2026,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,276,1.0,147.76724243164062,94.4566650390625,64.77743271221532,30.155947371936154
TS6,split_a,2026,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,392,1.0,134.9949188232422,114.52257537841797,71.68367346938776,36.35321640176808
TS1,split_a,2026,yolo11l_pose,bounded_reliability_observed_modulation,603,1.0,102.86131286621094,62.04084396362305,80.0639658848614,41.05700376764411
TS2,split_a,2026,yolo11l_pose,bounded_reliability_observed_modulation,540,1.0,130.4888916015625,83.4510269165039,68.86243386243386,32.12621607782898
TS3,split_a,2026,yolo11l_pose,bounded_reliability_observed_modulation,506,1.0,130.17486572265625,79.05293273925781,69.01468097120271,31.90743338008415
TS4,split_a,2026,yolo11l_pose,bounded_reliability_observed_modulation,558,1.0,149.0883026123047,91.33101654052734,62.13517665130568,28.486777992501196
TS5,split_a,2026,yolo11l_pose,bounded_reliability_observed_modulation,276,1.0,158.67681884765625,95.1736068725586,58.77329192546584,26.60455486542443
TS6,split_a,2026,yolo11l_pose,bounded_reliability_observed_modulation,392,1.0,140.7908172607422,107.38800811767578,66.07142857142857,31.356978275181046
TS1,split_a,2026,yolo11l_pose,bounded_reliability_dual_modulation,603,1.0,105.10128021240234,63.7794075012207,79.32954276237858,40.36461318599017
TS2,split_a,2026,yolo11l_pose,bounded_reliability_dual_modulation,540,1.0,129.21392822265625,86.4726333618164,70.02645502645503,32.841781874039945
TS3,split_a,2026,yolo11l_pose,bounded_reliability_dual_modulation,506,1.0,128.71043395996094,80.15178680419922,69.21230942970074,32.73301032768074
TS4,split_a,2026,yolo11l_pose,bounded_reliability_dual_modulation,558,1.0,153.21591186523438,93.762451171875,60.71428571428571,28.250582230811162
TS5,split_a,2026,yolo11l_pose,bounded_reliability_dual_modulation,276,1.0,140.73731994628906,88.7857894897461,69.2287784679089,33.7206972550591
TS6,split_a,2026,yolo11l_pose,bounded_reliability_dual_modulation,392,1.0,131.3780059814453,108.53992462158203,71.02769679300292,35.386297376093296
TS1,split_b,42,rtmpose_performance,detector_aware_observed,603,1.0,95.00558471679688,58.63715744018555,82.89504856669035,43.30498047397421
TS2,split_b,42,rtmpose_performance,detector_aware_observed,540,1.0,117.8060073852539,73.87596130371094,72.98941798941799,35.246629117596854
TS3,split_b,42,rtmpose_performance,detector_aware_observed,506,1.0,121.63436889648438,72.39610290527344,71.17447769621683,33.34411030764468
TS4,split_b,42,rtmpose_performance,detector_aware_observed,558,1.0,139.88682556152344,86.72393798828125,65.02816180235536,30.030309036552538
TS5,split_b,42,rtmpose_performance,detector_aware_observed,276,1.0,126.50686645507812,81.74490356445312,67.59834368530021,33.00357309824351
TS6,split_b,42,rtmpose_performance,detector_aware_observed,392,1.0,128.75257873535156,108.73086547851562,75.0,38.64854697639424
TS1,split_b,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,603,1.0,92.96453094482422,56.549137115478516,84.87325278370055,43.91941979809097
TS2,split_b,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,540,1.0,120.1781234741211,74.07545471191406,73.08201058201058,34.24731182795699
TS3,split_b,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,506,1.0,120.6165771484375,73.26250457763672,71.90852625635235,33.65649077430283
TS4,split_b,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,558,1.0,143.23428344726562,86.78399658203125,64.97695852534562,29.227986720182347
TS5,split_b,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,276,1.0,113.85044860839844,77.17440032958984,78.59730848861284,37.75128564749883
TS6,split_b,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,392,1.0,132.092041015625,104.76471710205078,69.533527696793,35.97585347503056
TS1,split_b,42,rtmpose_performance,bounded_reliability_observed_modulation,603,1.0,96.45279693603516,56.75107955932617,83.25041459369817,42.50254105815011
TS2,split_b,42,rtmpose_performance,bounded_reliability_observed_modulation,540,1.0,116.84502410888672,70.41942596435547,74.45767195767196,35.08576548899129
TS3,split_b,42,rtmpose_performance,bounded_reliability_observed_modulation,506,1.0,120.83773803710938,71.27198028564453,71.97910784867307,33.05677492213257
TS4,split_b,42,rtmpose_performance,bounded_reliability_observed_modulation,558,1.0,142.88661193847656,84.62561798095703,64.17050691244239,28.985184084039446
TS5,split_b,42,rtmpose_performance,bounded_reliability_observed_modulation,276,1.0,121.74039459228516,72.0877456665039,73.91304347826086,34.684932879182526
TS6,split_b,42,rtmpose_performance,bounded_reliability_observed_modulation,392,1.0,136.09954833984375,106.72360229492188,70.18950437317784,35.12472961534844
TS1,split_b,42,rtmpose_performance,bounded_reliability_dual_modulation,603,1.0,94.53912353515625,55.532440185546875,84.19805733238569,43.153663326990234
TS2,split_b,42,rtmpose_performance,bounded_reliability_dual_modulation,540,1.0,125.5448226928711,72.2035140991211,70.8862433862434,32.13474995733061
TS3,split_b,42,rtmpose_performance,bounded_reliability_dual_modulation,506,1.0,117.42588806152344,67.52677154541016,73.16487859966121,34.530791788856305
TS4,split_b,42,rtmpose_performance,bounded_reliability_dual_modulation,558,1.0,138.74551391601562,83.46036529541016,65.5657962109575,30.07738301702922
TS5,split_b,42,rtmpose_performance,bounded_reliability_dual_modulation,276,1.0,121.99040985107422,80.1334457397461,74.74120082815735,35.84618980832165
TS6,split_b,42,rtmpose_performance,bounded_reliability_dual_modulation,392,1.0,130.33560180664062,106.53409576416016,73.14139941690962,36.84755007993981
TS1,split_b,42,yolo11l_pose,detector_aware_observed,603,1.0,102.90033721923828,59.517574310302734,80.075811419095,40.770418261992646
TS2,split_b,42,yolo11l_pose,detector_aware_observed,540,1.0,133.9741668701172,83.33768463134766,67.53968253968254,31.685014507595156
TS3,split_b,42,yolo11l_pose,detector_aware_observed,506,1.0,131.01780700683594,78.94161987304688,68.52060982495765,31.486676016830305
TS4,split_b,42,yolo11l_pose,detector_aware_observed,558,1.0,156.33279418945312,93.7740478515625,60.30465949820788,27.693127198850405
TS5,split_b,42,yolo11l_pose,detector_aware_observed,276,1.0,135.579345703125,84.95631408691406,69.56521739130434,33.80835503907033
TS6,split_b,42,yolo11l_pose,detector_aware_observed,392,1.0,132.4611053466797,109.41956329345703,71.84766763848397,35.757194582902294
TS1,split_b,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,603,1.0,104.28138732910156,61.44028091430664,79.43615257048093,40.15253991180808
TS2,split_b,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,540,1.0,131.0442352294922,83.34983825683594,69.2063492063492,31.942310974569043
TS3,split_b,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,506,1.0,132.8997344970703,80.77884674072266,67.98418972332016,31.381486676016827
TS4,split_b,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,558,1.0,160.11968994140625,95.77999877929688,59.17818740399385,26.827626645524678
TS5,split_b,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,276,1.0,132.9764404296875,86.8736801147461,72.46376811594203,33.319141120683895
TS6,split_b,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,392,1.0,135.1944122314453,112.22116088867188,68.5131195335277,34.429370826671686
TS1,split_b,42,yolo11l_pose,bounded_reliability_observed_modulation,603,1.0,105.5932388305664,58.67347717285156,78.16868040748638,39.197637006977395
TS2,split_b,42,yolo11l_pose,bounded_reliability_observed_modulation,540,1.0,129.12242126464844,81.32437896728516,69.4047619047619,31.850145075951524
TS3,split_b,42,yolo11l_pose,bounded_reliability_observed_modulation,506,1.0,130.75425720214844,77.95787048339844,67.88537549407114,31.505801351523647
TS4,split_b,42,yolo11l_pose,bounded_reliability_observed_modulation,558,1.0,149.89305114746094,90.1319580078125,61.66154633896569,28.706869497712372
TS5,split_b,42,yolo11l_pose,bounded_reliability_observed_modulation,276,1.0,141.096923828125,90.6001205444336,64.25983436853002,30.76287317170908
TS6,split_b,42,yolo11l_pose,bounded_reliability_observed_modulation,392,1.0,137.2806854248047,103.67756652832031,69.02332361516035,32.387378914699525
TS1,split_b,42,yolo11l_pose,bounded_reliability_dual_modulation,603,1.0,101.8482437133789,58.21791458129883,80.04027481639422,41.13304445514363
TS2,split_b,42,yolo11l_pose,bounded_reliability_dual_modulation,540,1.0,133.52978515625,82.05561828613281,67.93650793650794,31.219064686806618
TS3,split_b,42,yolo11l_pose,bounded_reliability_dual_modulation,506,1.0,125.58428955078125,75.32769012451172,70.77922077922078,33.53126536857252
TS4,split_b,42,yolo11l_pose,bounded_reliability_dual_modulation,558,1.0,148.17630004882812,89.77465057373047,62.12237583205326,28.898881786498848
TS5,split_b,42,yolo11l_pose,bounded_reliability_dual_modulation,276,1.0,140.80836486816406,87.3782958984375,72.07556935817804,31.788886662659454
TS6,split_b,42,yolo11l_pose,bounded_reliability_dual_modulation,392,1.0,126.25464630126953,102.63248443603516,73.01384839650146,36.80875576036866
TS1,split_b,123,rtmpose_performance,detector_aware_observed,603,1.0,94.88255310058594,61.225257873535156,83.8190002369107,44.01800521203506
